ID_Produit;Nom_Produit;Categorie;Sous_Categorie;Prix_Unitaire_ECO;Quantite_Stock;Score_Avis;Statut_Disponibilite;Date_Ajout
PROD-1482;Mélangeur EcoHome v2;Maison & Cuisine;Mélangeur;819.71;183;4.9;En stock;2026-04-02
PROD-1483;Mélangeur EcoHome v3;Maison & Cuisine;Mélangeur;817.55;115;4.4;En stock;2025-03-17
PROD-1484;Smartphone FitGear v4;Électronique;Smartphone;313.66;13;4.9;Stock faible;2026-04-28
PROD-1485;Crème hydratante EcoHome v4;Beauté & Santé;Crème hydratante;361.41;87;3.7;En stock;2025-04-26
PROD-1486;Lampe de bureau TechCorp v5;Maison & Cuisine;Lampe de bureau;634.84;175;4.7;En stock;2026-04-08
PROD-1487;Ordinateur AuraStyle v4;Électronique;Ordinateur;563.57;67;3.9;En stock;2026-04-17
PROD-1488;Smartphone PrimeGoods v5;Électronique;Smartphone;632.42;157;4.7;En stock;2025-11-20
PROD-1489;Mélangeur PrimeGoods v4;Maison & Cuisine;Mélangeur;752.3;123;4.8;En stock;2025-03-18
PROD-1490;Mélangeur PrimeGoods v1;Maison & Cuisine;Mélangeur;609.24;6;4.0;Stock faible;2025-04-17
PROD-1491;Veste PrimeGoods v5;Mode & Vêtements;Veste;504.8;234;4.1;En stock;2026-04-21
PROD-1492;T-shirt EcoHome v5;Mode & Vêtements;T-shirt;290.27;50;4.4;En stock;2025-04-24
PROD-1493;Poêle NovaLife v5;Maison & Cuisine;Poêle;894.09;234;4.6;En stock;2025-08-22
PROD-1494;Sac à dos EcoHome v5;Sports & Loisirs;Sac à dos;152.44;92;4.0;En stock;2025-08-04
PROD-1495;Sac à dos TechCorp v5;Sports & Loisirs;Sac à dos;312.46;243;4.8;En stock;2025-03-01
PROD-1496;Trousse de maquillage PrimeGoods v4;Beauté & Santé;Trousse de maquillage;774.95;200;3.6;En stock;2025-08-28
PROD-1497;Jean PrimeGoods v2;Mode & Vêtements;Jean;221.34;213;4.4;En stock;2025-12-12
PROD-1498;Vélo de ville AuraStyle v4;Sports & Loisirs;Vélo de ville;789.08;212;4.8;En stock;2025-10-16
PROD-1499;Machine à café EcoHome v5;Maison & Cuisine;Machine à café;52.72;205;4.4;En stock;2025-07-06
PROD-1500;Écouteurs EcoHome v1;Électronique;Écouteurs;88.4;82;3.6;En stock;2025-06-09
